_DeltaTime,_ExactTime,_Date,_content_cmd,_content_data_anchor_info_uid,_content_data_anchor_info_uname,_content_data_anchor_info_uface,_content_data_pk_info,_content_data_anchor_lottery,_content_data_timestamp,_content_data_guard_level,_content_data_fans_medal_level,_content_data_msg,_content_data_paid,_content_data_price,_content_data_gift_num,_content_data_gift_name,_content_data_gift_id,_content_data_uface,_content_data_uname,_content_data_uid,_content_data_type,_msg_type,
2126.47,20:10:09,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866208,0,0,,True,100,1,粉丝团灯牌,31164,http://i1.hdslb.com/bfs/face/d70e37098855904c1b83670c7d3c58ae8e40482f.jpg,唯我独尊三德子,128020,1,other,
2245.14,20:12:07,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866326,0,13,,False,0,24,小心心,30607,http://i0.hdslb.com/bfs/face/f9ae2af281dfd0f92e8cb232cedaa72300d09851.jpg,西瓜狗呀,1081888146,1,other,
2255.15,20:12:17,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866337,0,6,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/8224613507f58437ceb3af9136621f12b58967f7.jpg,氵军,22063775,1,other,
2257.01,20:12:19,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866338,0,6,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/8224613507f58437ceb3af9136621f12b58967f7.jpg,氵军,22063775,1,other,
2257.01,20:12:19,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866338,0,6,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/8224613507f58437ceb3af9136621f12b58967f7.jpg,氵军,22063775,1,other,
2257.01,20:12:19,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866339,0,6,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/8224613507f58437ceb3af9136621f12b58967f7.jpg,氵军,22063775,1,other,
2257.01,20:12:19,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866339,0,6,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/8224613507f58437ceb3af9136621f12b58967f7.jpg,氵军,22063775,1,other,
2257.01,20:12:19,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866339,0,6,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/8224613507f58437ceb3af9136621f12b58967f7.jpg,氵军,22063775,1,other,
2257.01,20:12:19,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866339,0,6,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/8224613507f58437ceb3af9136621f12b58967f7.jpg,氵军,22063775,1,other,
2258.01,20:12:20,2021.12.30,LIVE_INTERACTIVE_GAME,1958342,水无月菌,http://i2.hdslb.com/bfs/face/f9c8a8ecb20f3e1a8cb7f93c579e06a40f01ecb2.jpg,None,None,1640866339,0,6,,False,0,1,小心心,30607,http://i2.hdslb.com/bfs/face/8224613507f58437ceb3af9136621f12b58967f7.jpg,氵军,22063775,1,other,
